"filename", "language", "Python", "Batch", "Markdown", "HTML", "JSON", "JSON with Comments", "XML", "CSV", "pip requirements", "comment", "blank", "total"
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M10SilverHunt.md", "Markdown", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 165, 318
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M20AngarvundesTreasure.md", "Markdown", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 62, 127
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M30ScholarFragment.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 95, 186
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M40CompConspiracy.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 64, 135
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M50WolfAmbush.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 16, 31
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M60Retaliation.md", "Markdown", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 114, 224
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\OUTPUT\Md\DSilHand_M80AssaultJor.md", "Markdown", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 201, 388
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\Cd.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\Console.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\CsvDic.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 0, 28, 12, 118
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\CsvDicEditor.py", "Python", 250, 0, 0, 0, 0, 0, 0, 0, 0, 33, 27, 310
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\CsvDicEditor2.py", "Python", 237, 0, 0, 0, 0, 0, 0, 0, 0, 17, 22, 276
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\CsvDicTuple.py", "Python", 163, 0, 0, 0, 0, 0, 0, 0, 0, 85, 19, 267
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\FileUtils.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 29, 12, 81
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\Functions.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 18
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\Logger.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 60
